sex,height_cm,weight_kg,arm_span_cm,climbing_years,climbing_frequency,training_hours,hangboard_frequency,campus_frequency,endurance_frequency,general_strength_frequency,max_pull_ups,trains_full_crimp,trains_half_crimp,trains_open_crimp,trains_front_3,trains_back_3,trains_front_2,trains_middle_2,trains_back_2,trains_slopers,trains_pinch,trains_monos,trains_repeaters,trains_max_weight,trains_min_edge,trains_one_arm_hang,trains_no_hangs,trains_other_protocol,trains_laps_of_routes,trains_4x4,trains_arc,trains_systems_boards,trains_max_moves,trains_route_climbing_intervals,trains_threshold_intervals,trains_antagonists,trains_legs,trains_core,trains_upper_body_pulling,trains_upper_body_pushing,climbs_indoors,climbs_outdoors,boulders,route_climbs,cardio,yoga,climbing_session_length,general_strength_session_length,campus_session_length,max_boulder_grade
True,170.0,66.5,171.0,10.75,2,8,1,0,3,1,10,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,False,2.0,1.0,0.0,4
True,188.0,87.0,200.0,1.25,3,2,0,0,0,2,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,2.3333333333333335,0.5,0.0,6
True,180.0,74.0,180.0,2.25,3,0,3,0,0,3,12,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,True,3.0,1.6666666666666667,0.0,8
True,186.0,70.0,196.0,0.25,4,0,0,0,0,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2.5,0.0,0.0,5
True,177.0,61.2,177.0,1.25,3,3,0,0,0,1,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,1.6666666666666667,1.0,0.0,5
True,175.0,73.0,177.0,15.25,3,2,0,0,0,1,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,False,False,False,False,1.6666666666666667,1.0,0.0,7
True,168.0,55.0,173.0,5.75,3,3,1,3,1,3,,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,True,False,False,1.6666666666666667,0.3333333333333333,0.6666666666666666,13
True,193.0,90.0,195.0,3.25,3,1,0,3,0,3,23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,3.0,1.0,0.6666666666666666,
True,175.0,56.7,177.5,8.25,3,1,1,0,0,0,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,3.0,0.0,0.0,10
True,160.0,52.0,163.0,2.25,3,9,3,3,0,3,15,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,False,True,False,False,3.0,1.0,0.3333333333333333,7
True,185.0,67.0,,6.25,2,4,0,2,0,1,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,False,False,0.5,1.0,0.0,
True,177.0,71.0,178.0,15.25,3,2,2,2,2,3,25,True,True,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,True,False,2.3333333333333335,0.6666666666666666,0.5,10
True,160.0,44.0,167.0,4.75,7,12,3,0,3,4,,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,False,True,True,False,1.7142857142857142,1.0,0.0,9
True,172.0,68.0,172.0,2.25,3,5,2,1,0,3,25,False,True,True,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,False,1.3333333333333333,3.0,1.0,9
True,180.0,63.0,177.0,15.25,3,6,2,0,0,1,22,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,1.3333333333333333,1.0,0.0,9
True,184.0,78.0,184.0,4.25,4,2,0,1,1,2,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,True,False,2.75,3.0,1.0,11
True,183.0,77.5,193.0,2.75,5,6,3,1,0,3,18,False,True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,True,True,False,2.4,1.3333333333333333,1.0,10
True,182.0,78.0,190.0,3.25,3,3,1,0,0,2,20,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,True,False,0.6666666666666666,0.5,0.0,7
True,184.0,90.0,186.0,15.25,2,0,0,0,0,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,2.0,0.0,0.0,8
True,178.0,68.0,178.0,2.25,2,0,0,0,0,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,3.0,0.0,0.0,8
True,178.0,79.0,172.0,13.25,4,0,0,0,0,0,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,2.25,0.0,0.0,8
True,190.0,87.0,194.0,0.75,2,2,0,0,0,5,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,1.0,1.2,0.0,3
True,185.0,86.0,188.0,10.25,2,1,0,2,0,0,15,False,False,True,True,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,True,True,False,True,False,False,2.5,0.0,0.5,7
True,176.0,70.0,180.0,0.25,2,0,0,0,0,2,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,3.0,1.0,0.0,3
True,185.0,68.0,188.0,4.25,3,0,0,0,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,1.0,0.0,0.0,8
True,183.0,84.0,190.5,1.25,6,10,1,2,0,4,14,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,0.8333333333333334,2.5,2.5,8
True,185.0,82.0,178.0,1.25,3,0,0,0,3,2,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,True,False,False,True,False,False,False,True,False,3.0,2.0,0.0,6
True,184.0,75.0,187.0,3.75,3,6,1,1,2,2,20,True,True,True,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,True,True,False,True,True,True,False,False,True,True,4.0,4.0,1.0,7
False,175.0,55.0,167.0,11.75,2,1,1,0,1,0,,True,False,True,True,True,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,3.0,0.0,0.0,
